Data;CH4;CO2;O2;H2S;CH4PPM;N2
20/06/2024 02:00:00;;;;;;
20/06/2024 02:00:10;;;;;;
20/06/2024 02:00:20;;;;;;
20/06/2024 02:00:30;;;;;;
20/06/2024 02:00:40;;;;;;
20/06/2024 02:00:50;;;;;;
20/06/2024 02:01:00;;;;;;
20/06/2024 02:01:10;;;;;;
20/06/2024 02:01:20;;;;;;
20/06/2024 02:01:30;;;;;;
20/06/2024 02:01:40;;;;;;
20/06/2024 02:01:50;;;;;;
20/06/2024 02:02:00;;;;;;
20/06/2024 02:02:10;;;;;;
20/06/2024 02:02:20;;;;;;
20/06/2024 02:02:30;;;;;;
20/06/2024 02:02:40;;;;;;
20/06/2024 02:02:50;;;;;;
20/06/2024 02:03:00;;;;;;
20/06/2024 02:03:10;;;;;;
20/06/2024 02:03:20;;;;;;
20/06/2024 02:03:30;;;;;;
20/06/2024 02:03:40;;;;;;
20/06/2024 02:03:50;;;;;;
20/06/2024 02:04:00;;;;;;
20/06/2024 02:04:10;;;;;;
20/06/2024 02:04:20;;;;;;
20/06/2024 02:04:30;;;;;;
20/06/2024 02:04:40;;;;;;
20/06/2024 02:04:50;;;;;;
20/06/2024 02:05:00;;;;;;
20/06/2024 02:05:10;;;;;;
20/06/2024 02:05:20;;;;;;
20/06/2024 02:05:30;;;;;;
20/06/2024 02:05:40;;;;;;
20/06/2024 02:05:50;;;;;;
20/06/2024 02:06:00;;;;;;
20/06/2024 02:06:10;;;;;;
20/06/2024 02:06:20;;;;;;
20/06/2024 02:06:30;;;;;;
20/06/2024 02:06:40;;;;;;
20/06/2024 02:06:50;;;;;;
20/06/2024 02:07:00;;;;;;
20/06/2024 02:07:10;;;;;;
20/06/2024 02:07:20;;;;;;
20/06/2024 02:07:30;;;;;;
20/06/2024 02:07:40;;;;;;
20/06/2024 02:07:50;;;;;;
20/06/2024 02:08:00;;;;;;
20/06/2024 02:08:10;;;;;;
20/06/2024 02:08:20;;;;;;
20/06/2024 02:08:30;;;;;;
20/06/2024 02:08:40;;;;;;
20/06/2024 02:08:50;;;;;;
20/06/2024 02:09:00;;;;;;
20/06/2024 02:09:10;;;;;;
20/06/2024 02:09:20;;;;;;
20/06/2024 02:09:30;;;;;;
20/06/2024 02:09:40;;;;;;
20/06/2024 02:09:50;;;;;;
20/06/2024 02:10:00;;;;;;
20/06/2024 02:10:10;;;;;;
20/06/2024 02:10:20;;;;;;
20/06/2024 02:10:30;;;;;;
20/06/2024 02:10:40;;;;;;
20/06/2024 02:10:50;;;;;;
20/06/2024 02:11:00;;;;;;
20/06/2024 02:11:10;;;;;;
20/06/2024 02:11:20;;;;;;
20/06/2024 02:11:30;;;;;;
20/06/2024 02:11:40;;;;;;
20/06/2024 02:11:50;;;;;;
20/06/2024 02:12:00;;;;;;
20/06/2024 02:12:10;;;;;;
20/06/2024 02:12:20;;;;;;
20/06/2024 02:12:30;;;;;;
20/06/2024 02:12:40;;;;;;
20/06/2024 02:12:50;;;;;;
20/06/2024 02:13:00;;;;;;
20/06/2024 02:13:10;;;;;;
20/06/2024 02:13:20;;;;;;
20/06/2024 02:13:30;;;;;;
20/06/2024 02:13:40;;;;;;
20/06/2024 02:13:50;;;;;;
20/06/2024 02:14:00;;;;;;
20/06/2024 02:14:10;;;;;;
20/06/2024 02:14:20;;;;;;
20/06/2024 02:14:30;;;;;;
20/06/2024 02:14:40;;;;;;
20/06/2024 02:14:50;;;;;;
20/06/2024 02:15:00;;;;;;
20/06/2024 02:15:10;;;;;;
20/06/2024 02:15:20;;;;;;
20/06/2024 02:15:30;;;;;;
20/06/2024 02:15:40;;;;;;
20/06/2024 02:15:50;;;;;;
20/06/2024 02:16:00;;;;;;
20/06/2024 02:16:10;;;;;;
20/06/2024 02:16:20;;;;;;
20/06/2024 02:16:30;;;;;;
20/06/2024 02:16:40;;;;;;
20/06/2024 02:16:50;;;;;;
20/06/2024 02:17:00;;;;;;
20/06/2024 02:17:10;;;;;;
20/06/2024 02:17:20;;;;;;
20/06/2024 02:17:30;;;;;;
20/06/2024 02:17:40;;;;;;
20/06/2024 02:17:50;;;;;;
20/06/2024 02:18:00;;;;;;
20/06/2024 02:18:10;;;;;;
20/06/2024 02:18:20;;;;;;
20/06/2024 02:18:30;;;;;;
20/06/2024 02:18:40;;;;;;
20/06/2024 02:18:50;;;;;;
20/06/2024 02:19:00;;;;;;
20/06/2024 02:19:10;;;;;;
20/06/2024 02:19:20;;;;;;
20/06/2024 02:19:30;;;;;;
20/06/2024 02:19:40;;;;;;
20/06/2024 02:19:50;;;;;;
20/06/2024 02:20:00;;;;;;
20/06/2024 02:20:10;;;;;;
20/06/2024 02:20:20;;;;;;
20/06/2024 02:20:30;;;;;;
20/06/2024 02:20:40;;;;;;
20/06/2024 02:20:50;;;;;;
20/06/2024 02:21:00;;;;;;
20/06/2024 02:21:10;;;;;;
20/06/2024 02:21:20;;;;;;
20/06/2024 02:21:30;;;;;;
20/06/2024 02:21:40;;;;;;
20/06/2024 02:21:50;;;;;;
20/06/2024 02:22:00;;;;;;
20/06/2024 02:22:10;;;;;;
20/06/2024 02:22:20;;;;;;
20/06/2024 02:22:30;;;;;;
20/06/2024 02:22:40;;;;;;
20/06/2024 02:22:50;;;;;;
20/06/2024 02:23:00;;;;;;
20/06/2024 02:23:10;;;;;;
20/06/2024 02:23:20;;;;;;
20/06/2024 02:23:30;;;;;;
20/06/2024 02:23:40;;;;;;
20/06/2024 02:23:50;;;;;;
20/06/2024 02:24:00;;;;;;
20/06/2024 02:24:10;;;;;;
20/06/2024 02:24:20;;;;;;
20/06/2024 02:24:30;;;;;;
20/06/2024 02:24:40;;;;;;
20/06/2024 02:24:50;;;;;;
20/06/2024 02:25:00;;;;;;
20/06/2024 02:25:10;;;;;;
20/06/2024 02:25:20;;;;;;
20/06/2024 02:25:30;;;;;;
20/06/2024 02:25:40;;;;;;
20/06/2024 02:25:50;;;;;;
20/06/2024 02:26:00;;;;;;
20/06/2024 02:26:10;;;;;;
20/06/2024 02:26:20;;;;;;
20/06/2024 02:26:30;;;;;;
20/06/2024 02:26:40;;;;;;
20/06/2024 02:26:50;;;;;;
20/06/2024 02:27:00;;;;;;
20/06/2024 02:27:10;;;;;;
20/06/2024 02:27:20;;;;;;
20/06/2024 02:27:30;;;;;;
20/06/2024 02:27:40;;;;;;
20/06/2024 02:27:50;;;;;;
20/06/2024 02:28:00;;;;;;
20/06/2024 02:28:10;;;;;;
20/06/2024 02:28:20;;;;;;
20/06/2024 02:28:30;;;;;;
20/06/2024 02:28:40;;;;;;
20/06/2024 02:28:50;;;;;;
20/06/2024 02:29:00;;;;;;
20/06/2024 02:29:10;;;;;;
20/06/2024 02:29:20;;;;;;
20/06/2024 02:29:30;;;;;;
20/06/2024 02:29:40;;;;;;
20/06/2024 02:29:50;;;;;;
20/06/2024 02:30:00;;;;;;
20/06/2024 02:30:10;;;;;;
20/06/2024 02:30:20;;;;;;
20/06/2024 02:30:30;;;;;;
20/06/2024 02:30:40;;;;;;
20/06/2024 02:30:50;;;;;;
20/06/2024 02:31:00;;;;;;
20/06/2024 02:31:10;;;;;;
20/06/2024 02:31:20;;;;;;
20/06/2024 02:31:30;;;;;;
20/06/2024 02:31:40;;;;;;
20/06/2024 02:31:50;;;;;;
20/06/2024 02:32:00;;;;;;
20/06/2024 02:32:10;;;;;;
20/06/2024 02:32:20;;;;;;
20/06/2024 02:32:30;;;;;;
20/06/2024 02:32:40;;;;;;
20/06/2024 02:32:50;;;;;;
20/06/2024 02:33:00;;;;;;
20/06/2024 02:33:10;;;;;;
20/06/2024 02:33:20;;;;;;
20/06/2024 02:33:30;;;;;;
20/06/2024 02:33:40;;;;;;
20/06/2024 02:33:50;;;;;;
20/06/2024 02:34:00;;;;;;
20/06/2024 02:34:10;;;;;;
20/06/2024 02:34:20;;;;;;
20/06/2024 02:34:30;;;;;;
20/06/2024 02:34:40;;;;;;
20/06/2024 02:34:50;;;;;;
20/06/2024 02:35:00;;;;;;
20/06/2024 02:35:10;;;;;;
20/06/2024 02:35:20;;;;;;
20/06/2024 02:35:30;;;;;;
20/06/2024 02:35:40;;;;;;
20/06/2024 02:35:50;;;;;;
20/06/2024 02:36:00;;;;;;
20/06/2024 02:36:10;;;;;;
20/06/2024 02:36:20;;;;;;
20/06/2024 02:36:30;;;;;;
20/06/2024 02:36:40;;;;;;
20/06/2024 02:36:50;;;;;;
20/06/2024 02:37:00;;;;;;
20/06/2024 02:37:10;;;;;;
20/06/2024 02:37:20;;;;;;
20/06/2024 02:37:30;;;;;;
20/06/2024 02:37:40;;;;;;
20/06/2024 02:37:50;;;;;;
20/06/2024 02:38:00;;;;;;
20/06/2024 02:38:10;;;;;;
20/06/2024 02:38:20;;;;;;
20/06/2024 02:38:30;;;;;;
20/06/2024 02:38:40;;;;;;
20/06/2024 02:38:50;;;;;;
20/06/2024 02:39:00;;;;;;
20/06/2024 02:39:10;;;;;;
20/06/2024 02:39:20;;;;;;
20/06/2024 02:39:30;;;;;;
20/06/2024 02:39:40;;;;;;
20/06/2024 02:39:50;;;;;;
20/06/2024 02:40:00;;;;;;
20/06/2024 02:40:10;;;;;;
20/06/2024 02:40:20;;;;;;
20/06/2024 02:40:30;;;;;;
20/06/2024 02:40:40;;;;;;
20/06/2024 02:40:50;;;;;;
20/06/2024 02:41:00;;;;;;
20/06/2024 02:41:10;;;;;;
20/06/2024 02:41:20;;;;;;
20/06/2024 02:41:30;;;;;;
20/06/2024 02:41:40;;;;;;
20/06/2024 02:41:50;;;;;;
20/06/2024 02:42:00;;;;;;
20/06/2024 02:42:10;;;;;;
20/06/2024 02:42:20;;;;;;
20/06/2024 02:42:30;;;;;;
20/06/2024 02:42:40;;;;;;
20/06/2024 02:42:50;;;;;;
