Data;Energia elettrica consumata dalla pompa criogneica P200;PT101 Pressione offgas in ingresso al pretrattamento;Valore di recupero percentuale di CO2 dell'impianto;Energia elettrica consumata dalla soffiante V100;EM100 Compressor motor power;Energia elettrica consumata dal compressore V110;Percentuale funzionamento compressore;Energia elettrica consumata dal chiller F400;Energia elettrica consumata dal dissipatore V420;Energia elettrica consumata dal ventilatore V900;Energia elettrica consumata dalla scaldiglia HW203
20/06/2024 02:08:20;;50,021690368652;74,338569641113;365,20512820513;16,799999237061;4533,8823529412;64;3720,8139534884;;;
20/06/2024 02:08:30;;49,956588745117;75,050025939941;365,21153846154;16,700000762939;4533,9411764706;63,5;3720,8604651163;;;
20/06/2024 02:08:40;;49,934883117676;75,76148223877;365,21794871795;16,683334032694;4534;63;3720,9069767442;;;
20/06/2024 02:08:50;;50,043395996094;72,67650604248;365,22435897436;16,66666730245;4534,0588235294;62,75;3720,9534883721;;;
20/06/2024 02:09:00;;50,021690368652;74,765815734863;365,23076923077;16,650000572205;4534,1176470588;62,5;3721;;;
20/06/2024 02:09:10;;49,956588745117;78,991111755371;365,23717948718;16,63333384196;4534,1764705882;62,25;3721,05;;;
20/06/2024 02:09:20;;49,999992370605;85,314186096191;365,24358974359;16,616667111715;4534,2352941176;62;3721,1;;;
20/06/2024 02:09:30;;49,999984741211;75,619445800781;365,25;16,60000038147;4534,2941176471;61,666666666667;3721,15;;;
20/06/2024 02:09:40;;49,956588745117;75,768520355225;365,25641025641;16,700000762939;4534,3529411765;61,333333333333;3721,2;;;
20/06/2024 02:09:50;;50,086791992188;75,917594909668;365,26282051282;16,650000572205;4534,4117647059;61;3721,25;;;
20/06/2024 02:10:00;;50,043395996094;86,762657165527;365,26923076923;16,60000038147;4534,4705882353;60,5;3721,3;;;
20/06/2024 02:10:10;;49,956581115723;79,955940246582;365,27564102564;16,5;4534,5294117647;60;3721,35;;;
20/06/2024 02:10:20;;50,065093994141;88,774002075195;365,28205128205;16,39999961853;4534,5882352941;59,75;3721,4;;;
20/06/2024 02:10:30;;49,913177490234;85,771423339844;365,28846153846;16,60000038147;4534,6470588235;59,5;3721,45;;;
20/06/2024 02:10:40;;50,043395996094;91,328800201416;365,29487179487;16,575000286102;4534,7058823529;59,25;3721,5;;;
20/06/2024 02:10:50;;50,108497619629;96,886177062988;365,30128205128;16,550000190735;4534,7647058824;59;3721,55;;;
20/06/2024 02:11:00;;50,086791992188;99,334976196289;365,30769230769;16,525000095367;4534,8235294118;58,666666666667;3721,6;;;
20/06/2024 02:11:10;;50,086791992188;103,90349578857;365,3141025641;16,5;4534,8823529412;58,333333333333;3721,65;;;
20/06/2024 02:11:20;;50,043395996094;99,399307250977;365,32051282051;16,474999904633;4534,9411764706;58;3721,7;;;
20/06/2024 02:11:30;;50,108497619629;101,9280090332;365,32692307692;16,449999809265;4535;57,666666666667;3721,75;;;
20/06/2024 02:11:40;;50,021690368652;105,81512069702;365,33333333333;16,424999713898;4535,0588235294;57,333333333333;3721,8;;;
20/06/2024 02:11:50;;50,173599243164;109,70223236084;365,33974358974;16,39999961853;4535,1176470588;57;3721,85;;;
20/06/2024 02:12:00;;50,130195617676;107,67724609375;365,34615384615;16,700000762939;4535,1764705882;57,142857142857;3721,9;;;
20/06/2024 02:12:10;;50,260406494141;104,04470825195;365,35256410256;16,75;4535,2352941176;57,285714285714;3721,95;;;
20/06/2024 02:12:20;;50,217010498047;109,13507843018;365,35897435897;16,799999237061;4535,2941176471;57,428571428571;3722;;;
20/06/2024 02:12:30;;50,108497619629;94,923675537109;365,36538461538;17;4535,3529411765;57,571428571429;3722,05;;;
20/06/2024 02:12:40;;50,043395996094;98,281627655029;365,37179487179;17,200000762939;4535,4117647059;57,714285714286;3722,1;;;
20/06/2024 02:12:50;;49,999984741211;101,63957977295;365,37820512821;17,300000190735;4535,4705882353;57,857142857143;3722,15;;;
20/06/2024 02:13:00;;49,978286743164;97,093566894531;365,38461538462;17,39999961853;4535,5294117647;58;3722,2;;;
20/06/2024 02:13:10;;49,956588745117;95,891990661621;365,39102564103;17,299999237061;4535,5882352941;58,5;3722,25;;;
20/06/2024 02:13:20;;49,934883117676;90,391250610352;365,39743589744;17,39999961853;4535,6470588235;59;3722,3;;;
